Image,Latitude,Longitude
2022-06-20.jpg,18.44752,73.8808
2022-06-20.jpg,18.52694,73.8499
2022-06-23 (1).jpg,18.36639,73.75494
2022-06-23.jpg,18.36633,73.75514
2022-06-27 (1).jpg,18.5288,73.81564
2022-06-27 (2).jpg,18.52572,73.81536
2022-06-27 (3).jpg,18.52306,73.8162
2022-06-27 (4).jpg,18.52187,73.81697
2022-06-27.jpg,18.52333,73.81553
2022-06-28 (1).jpg,18.23353,73.44086
2022-06-28.jpg,18.23375,73.44122
2022-07-01 (1).jpg,18.43478,73.77108
2022-07-01.jpg,18.43477,73.76967
2022-07-03 (1).jpg,18.55381,73.791
2022-07-03.jpg,18.44946,73.88092
2022-07-03.jpg,18.55439,73.79087
2022-07-04 (1).jpg,18.5241,73.82996
2022-07-04 (2).jpg,18.52413,73.831
2022-07-04.jpg,18.52412,73.83146
2022-07-07 (1).jpg,18.52911,73.81635
2022-07-07 (1).jpg,18.55396,73.78909
2022-07-07 (10).jpg,18.52499,73.81644
2022-07-07 (11).jpg,18.52853,73.81617
2022-07-07 (12).jpg,18.52667,73.81655
2022-07-07 (13).jpg,18.53008,73.81566
2022-07-07 (14).jpg,18.52403,73.81556
2022-07-07 (15).jpg,18.52465,73.81515
2022-07-07 (16).jpg,18.52538,73.81552
2022-07-07 (17).jpg,18.52251,73.81672
2022-07-07 (18).jpg,18.52718,73.8159
2022-07-07 (19).jpg,18.52405,73.81626
2022-07-07 (2).jpg,18.52252,73.81616
2022-07-07 (20).jpg,18.53098,73.81539
2022-07-07 (21).jpg,18.52687,73.81567
2022-07-07 (3).jpg,18.52434,73.81636
2022-07-07 (4).jpg,18.52527,73.81508
2022-07-07 (5).jpg,18.53011,73.81536
2022-07-07 (6).jpg,18.52318,73.816
2022-07-07 (7).jpg,18.52767,73.8162
2022-07-07 (8).jpg,18.5297,73.81612
2022-07-07 (9).jpg,18.52172,73.81621
2022-07-07.jpg,18.52247,73.81552
2022-07-07.jpg,18.55442,73.79042
2022-07-10 (1).jpg,18.44847,73.88099
2022-07-10.jpg,18.44874,73.88087
2022-07-10.jpg,18.4922,73.83742
2022-07-11 (1).jpg,18.44863,73.88079
2022-07-11 (2).jpg,18.44867,73.88083
2022-07-11 (3).jpg,18.44811,73.88097
2022-07-11 (4).jpg,18.448,73.88098
2022-07-11 (5).jpg,18.44742,73.88088
2022-07-11.jpg,18.44921,73.88093
2022-07-16 (1).jpg,18.27597,73.62228
2022-07-16.jpg,18.27592,73.62258
2022-07-23 (1).jpg,18.36627,73.75626
2022-07-23.jpg,18.36633,73.7571
2022-07-24 (1).jpg,18.448,73.88076
2022-07-24.jpg,18.44903,73.88097
2022-07-25 (1).jpg,18.52712,73.81665
2022-07-25 (2).jpg,18.52624,73.81581
2022-07-25 (3).jpg,18.52598,73.81601
2022-07-25 (4).jpg,18.52711,73.81549
2022-07-25 (5).jpg,18.53159,73.81596
2022-07-25 (6).jpg,18.52929,73.81493
2022-07-25.jpg,18.52311,73.81649
2022-07-26 (1).jpg,18.23429,73.4412
2022-07-26 (1).jpg,18.36627,73.75618
2022-07-26.jpg,18.23391,73.44077
2022-07-26.jpg,18.36631,73.75514
2022-07-27 (1).jpg,18.23365,73.44122
2022-07-27 (1).jpg,18.3663,73.75634
2022-07-27.jpg,18.23323,73.44066
2022-07-27.jpg,18.36635,73.75444
2022-07-28 (1).jpg,18.44818,73.88075
2022-07-28.jpg,18.4491,73.88094
2022-07-29.jpg,18.23393,73.44062
2022-07-29.jpg,18.52902,73.81588
2022-08-01 (1).jpg,18.23405,73.44112
2022-08-01 (2).jpg,18.23435,73.44055
2022-08-01 (3).jpg,18.23355,73.44102
2022-08-01.jpg,18.23361,73.44088
2022-08-02 (1).jpg,18.52409,73.83052
2022-08-02.jpg,18.52408,73.83181
2022-08-03 (1).jpg,18.55535,73.78877
2022-08-03.jpg,18.5546,73.7901
2022-08-04 (1).jpg,18.27595,73.62238
2022-08-04 (1).jpg,18.52409,73.83076
2022-08-04 (2).jpg,18.27595,73.62231
2022-08-04 (3).jpg,18.27597,73.62235
2022-08-04.jpg,18.27591,73.62237
2022-08-04.jpg,18.52408,73.82993
2022-08-05 (1).jpg,18.52685,73.81551
2022-08-05 (2).jpg,18.52609,73.81575
2022-08-05.jpg,18.52477,73.81567
2022-08-06 (1).jpg,18.52559,73.81679
2022-08-06 (2).jpg,18.53125,73.81604
2022-08-06 (3).jpg,18.52753,73.8154
2022-08-06 (4).jpg,18.52308,73.81575
2022-08-06 (5).jpg,18.5291,73.81548
2022-08-06 (6).jpg,18.524,73.81656
2022-08-06 (7).jpg,18.52865,73.81571
2022-08-06.jpg,18.52542,73.81535
2022-08-10 (1).jpg,18.23329,73.44107
2022-08-10.jpg,18.23329,73.44118
2022-08-11 (1).jpg,18.44754,73.88084
2022-08-11.jpg,18.44839,73.88093
2022-08-14 (1).jpg,18.36633,73.75519
2022-08-14.jpg,18.3663,73.75564
2022-08-16 (1).jpg,18.44754,73.88096
2022-08-16 (2).jpg,18.44736,73.88077
2022-08-16.jpg,18.44753,73.88085
2022-08-18 (1).jpg,18.44771,73.88099
2022-08-18.jpg,18.44902,73.88098
2022-08-19 (1).jpg,18.51646,73.85601
2022-08-19.jpg,18.5163,73.8557
2022-08-21 (1).jpg,18.55382,73.79032
2022-08-21 (2).jpg,18.55516,73.79023
2022-08-21 (3).jpg,18.55533,73.79065
2022-08-21.jpg,18.55474,73.7912
2022-08-24 (1).jpg,18.52694,73.85013
2022-08-24.jpg,18.52694,73.85006
2022-08-27 (1).jpg,18.2338,73.44064
2022-08-27.jpg,18.23387,73.44094
2022-08-31.jpg,18.36632,73.75574
2022-09-04 (1).jpg,18.36628,73.75513
2022-09-04 (2).jpg,18.36627,73.75639
2022-09-04 (3).jpg,18.3663,73.75641
2022-09-04.jpg,18.36627,73.75654
2022-09-05 (1).jpg,18.23414,73.44063
2022-09-05 (1).jpg,18.44898,73.88076
2022-09-05.jpg,18.23322,73.44082
2022-09-05.jpg,18.44723,73.88077
2022-09-06.jpg,18.52805,73.81612
2022-09-07 (1).jpg,18.27597,73.62259
2022-09-07 (1).jpg,18.44874,73.88083
2022-09-07.jpg,18.27598,73.62231
2022-09-07.jpg,18.44935,73.88085
2022-09-09 (1).jpg,18.51643,73.85608
2022-09-09.jpg,18.51626,73.85601
2022-09-11 (1).jpg,18.52413,73.83106
2022-09-11.jpg,18.52411,73.83034
2022-09-17 (1).jpg,18.23375,73.44063
2022-09-17.jpg,18.2343,73.44064
2022-09-18.jpg,18.44832,73.8808
2022-09-19 (1).jpg,18.52804,73.81672
2022-09-19.jpg,18.52239,73.81562
2022-09-24 (1).jpg,18.36631,73.75686
2022-09-24.jpg,18.36636,73.75473
2022-09-25 (1).jpg,18.23413,73.44094
2022-09-25 (1).jpg,18.27597,73.62236
2022-09-25 (2).jpg,18.27594,73.62263
2022-09-25 (3).jpg,18.27595,73.62252
2022-09-25 (4).jpg,18.27597,73.62231
2022-09-25 (5).jpg,18.27591,73.62234
2022-09-25.jpg,18.23407,73.44115
2022-09-25.jpg,18.2759,73.62233
2022-09-27 (1).jpg,18.23364,73.44068
2022-09-27.jpg,18.23373,73.4408
2022-09-30 (1).jpg,18.36637,73.75534
2022-09-30.jpg,18.36628,73.75502
2022-10-08 (1).jpg,18.55536,73.79104
2022-10-08.jpg,18.55375,73.79076
2022-10-09 (1).jpg,18.52413,73.82985
2022-10-09 (2).jpg,18.52409,73.83026
2022-10-09 (3).jpg,18.52413,73.83028
2022-10-09 (4).jpg,18.5241,73.83045
2022-10-09 (5).jpg,18.52411,73.83034
2022-10-09 (6).jpg,18.52412,73.83182
2022-10-09.jpg,18.5241,73.83169
2022-10-11 (1).jpg,18.5241,73.83168
2022-10-11 (2).jpg,18.52413,73.83163
2022-10-11.jpg,18.52412,73.83045
2022-10-16 (1).jpg,18.27593,73.62264
2022-10-16 (1).jpg,18.44937,73.88097
2022-10-16 (2).jpg,18.44772,73.88077
2022-10-16.jpg,18.27592,73.62265
2022-10-16.jpg,18.44742,73.88081
2022-10-19 (1).jpg,18.23328,73.44067
2022-10-19 (1).jpg,18.27594,73.62237
2022-10-19 (1).jpg,18.44925,73.88092
2022-10-19 (2).jpg,18.27593,73.62229
2022-10-19 (3).jpg,18.27593,73.6226
2022-10-19.jpg,18.23335,73.44123
2022-10-19.jpg,18.27592,73.62238
2022-10-19.jpg,18.44862,73.88087
2022-10-22 (1).jpg,18.44852,73.88087
2022-10-22.jpg,18.44761,73.88093
2022-10-25 (1).jpg,18.36635,73.75557
2022-10-25.jpg,18.36635,73.75698
2022-10-26 (1).jpg,18.36632,73.755
2022-10-26 (1).jpg,18.4474,73.8809
2022-10-26.jpg,18.36636,73.75484
2022-10-26.jpg,18.44904,73.88089
2022-10-28 (1).jpg,18.51618,73.85596
2022-10-28.jpg,18.51636,73.85581
2022-10-29 (1).jpg,18.44778,73.88093
2022-10-29.jpg,18.44947,73.88079
2022-10-31 (1).jpg,18.23397,73.44071
2022-10-31 (1).jpg,18.27593,73.62237
2022-10-31 (2).jpg,18.23353,73.44068
2022-10-31 (2).jpg,18.27596,73.62235
